Args: {'audio': ['audio/source_audio.wav'], 'model': 'mlx-community/whisper-large-v3-mlx', 'output_name': 'subtitles_zh_v2', 'output_dir': 'transcripts', 'output_format': 'srt', 'verbose': True, 'task': 'transcribe', 'language': 'yue', 'temperature': 0, 'best_of': 5, 'patience': None, 'length_penalty': None, 'suppress_tokens': '-1', 'initial_prompt': None, 'condition_on_previous_text': False, 'fp16': True, 'compression_ratio_threshold': 2.4, 'logprob_threshold': -1.0, 'no_speech_threshold': 0.6, 'word_timestamps': False, 'prepend_punctuations': '"\'“¿([{-', 'append_punctuations': '"\'.。,，!！?？:：”)]}、', 'highlight_words': False, 'max_line_width': None, 'max_line_count': None, 'max_words_per_line': None, 'hallucination_silence_threshold': None, 'clip_timestamps': '0'}
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4907.05it/s]
[00:00.000 --> 00:05.600]  我想近這一個月來
[23:04.320 --> 23:06.720]  那個盲點是什麼呢?就是它的天頂
[23:06.720 --> 23:07.980]  就是它的頭頂
[23:07.980 --> 23:11.360]  你很少見到那些雷達在高高頭地掃的
[23:11.360 --> 23:13.020]  明白嗎?
[23:13.020 --> 23:15.500]  所以這個南麻竹有一個特點就是什麼呢?
[23:15.500 --> 23:18.240]  它正正就在天頂那裡
[23:18.240 --> 23:21.600]  在你頭頂就崩下來
[23:21.600 --> 23:25.320]  所以為什麼開戰第一天?
[23:25.320 --> 23:27.120]  我想給你看的是什麼呢?
[23:27.120 --> 23:30.080]  無論那些情報 那些情報的分析
[23:30.080 --> 23:34.280]  那些時間的把握 還有那些武器運作
[23:34.280 --> 23:39.800]  其實都是經過人工智能的消化而作出決定
[23:39.800 --> 23:45.760]  所以那個成績是很顯然的
[23:45.760 --> 23:53.260]  好了 面對著這些無人的武器
[23:53.260 --> 23:55.760]  其實都有對策的
[23:55.760 --> 24:00.100]  這一張大家看不看到是什麼?
[24:00.100 --> 24:04.960]  你看這個城市
[24:04.960 --> 24:07.520]  好像是不是有一層蜘蛛網在上面
[24:07.520 --> 24:13.660]  這個就是烏克蘭東部的一個城鎮的情況
[24:13.660 --> 24:17.380]  那些是什麼來的呢?
[24:17.380 --> 24:19.940]  其實就是當一個無人機
[24:19.940 --> 24:22.660]  它放了上天空的時候
[24:22.660 --> 24:27.040]  它就是透過一些電波
[24:27.040 --> 24:30.740]  跟這個控制員保持聯絡的
[24:30.740 --> 24:32.740]  那怎麼對付它呢?
[24:32.740 --> 24:35.640]  它就發一些的Gemming signal
[24:35.640 --> 24:40.220]  就是說一些電子的干擾系統
[24:40.220 --> 24:42.220]  那你一旦失去了聯絡
[24:42.220 --> 24:43.520]  那就控制不了了
[24:43.520 --> 24:46.320]  你明白嗎?那怎麼解決這個問題呢?
[24:46.320 --> 24:49.480]  怎麼解決這個問題呢?它就用光纖
[24:49.480 --> 24:54.480]  用一些fiber optic的光纖
[24:54.480 --> 24:56.720]  將無人機就連上去了
[24:56.720 --> 25:00.360]  這樣之後它是不受電波干擾的
[25:00.360 --> 25:04.040]  而透過光纖一樣可以傳送到
[25:04.040 --> 25:06.040]  第一就是可以控制到那個無人機
[25:06.040 --> 25:08.040]  另外就是可以傳送到那個景象
[25:08.040 --> 25:11.960]  你仍然可以用第一聲去控制它
[25:11.960 --> 25:13.420]  你明白我的意思嗎?
[25:13.420 --> 25:18.020]  而那些光纖是很長的 幾十里的
[25:18.020 --> 25:19.180]  每一次都幾十里的
[25:19.180 --> 25:21.520]  如果毀滅了目標之後
[25:21.520 --> 25:24.500]  那些光纖就留在戰場上面
[25:24.500 --> 25:29.700]  所以久而久之 整個戰場就好像蜘蛛網一樣
[25:29.700 --> 25:33.000]  你見到那些光纖就是這樣
[25:33.000 --> 25:37.420]  如果你知光纖的性質不容易斷的 你明白嗎?
[25:37.420 --> 25:40.900]  不過你可以想像到有相當的問題
[25:40.900 --> 25:47.020]  除了在戰場上遺留了這麼多光纖之外
[25:47.020 --> 25:52.420]  另外就是你走多長都是幾十里而已
[25:52.420 --> 25:56.620]  怎麼能夠解決這個問題呢?
[25:56.620 --> 26:03.180]  怎麼能夠解決這個電波干擾的問題呢?
[26:03.180 --> 26:07.020]  在幾個星期之前在這個
[26:07.020 --> 26:10.960]  Foreign Affairs 的雜誌裡面就有一篇報道
[26:10.960 --> 26:13.500]  這個人寫的其實是很出名的
[26:13.500 --> 26:17.660]  就是他是一個四星上將來的
[26:17.660 --> 26:24.080]  也都是CIA的前局長
[26:24.080 --> 26:28.900]  他就寫了一篇文章講到就是自主戰場
[26:28.900 --> 26:31.640]  什麼意思呢?他就說了
[26:31.640 --> 26:34.620]  其實最後打贏一場仗
[26:34.620 --> 26:39.360]  不在乎那個國家它擁有多少無人機
[26:39.360 --> 26:41.360]  多少無人武器
[26:41.360 --> 26:49.860]  而是在乎那些無人的武器是怎樣決策的
[26:49.860 --> 26:52.380]  如果當你發現了對方
[26:52.380 --> 26:57.400]  而到開火之前仍然要人呢?要士兵呢?
[26:57.400 --> 27:00.400]  按那個攻擊制的時候
[27:00.400 --> 27:04.560]  你這個操作、你這個反應已經太慢了
[27:04.620 --> 27:06.620]  你明白我的意思嗎?
[27:06.620 --> 27:11.660]  所以你看見其實現在烏克蘭
[27:11.660 --> 27:15.220]  左邊那個Interceptor就是烏克蘭研發出來的
[27:15.220 --> 27:19.120]  也都幫助這個海灣國家對付伊朗的那些無人機
[27:19.120 --> 27:24.620]  右手邊那個就是美國發明的那些無人機
[27:24.620 --> 27:26.620]  這個無人機的特點是什麼呢?
[27:26.620 --> 27:29.220]  第一就是它是AI導航的
[27:29.220 --> 27:32.220]  它的pilot是AI的
[27:32.220 --> 27:36.140]  就是說呢 當你放他上去的時候呢
[27:36.140 --> 27:38.780]  你就給了他任務
[27:38.780 --> 27:40.860]  他就會執行這個任務了
[27:40.860 --> 27:43.660]  當你放他上去空中的時候呢
[27:43.660 --> 27:45.020]  他們都期望什麼呢?
[27:45.020 --> 27:48.240]  就是很快就失去聯絡的了 因為有干擾嘛
[27:48.240 --> 27:51.420]  但是你給了一個指令他
[27:51.420 --> 27:53.120]  他就會執行了 他怎麼樣?
[27:53.120 --> 27:56.580]  他就會自動尋找目標
[27:56.580 --> 27:59.200]  然後將他擊落
[27:59.200 --> 28:02.160]  以後這幾個情況之下呢
[28:02.160 --> 28:05.680]  它可能會發生的 第一就是什麼呢?
[28:05.680 --> 28:08.780]  就是它找的目標已經被摧毀了
[28:08.780 --> 28:11.780]  那它就會安全的回航
[28:11.780 --> 28:12.780]  又或者什麼呢?
[28:12.780 --> 28:16.880]  就是它找一個另一個 當它的目標被摧毀之後
[28:16.880 --> 28:20.660]  它找一個另外一個目標 它自己執行的
[28:20.660 --> 28:23.160]  找一個另外一個目標 然後去摧毀它
[28:23.160 --> 28:24.440]  又或者什麼呢?
[28:24.440 --> 28:28.920]  又或者你再一次聯絡上這個無人機
[28:28.920 --> 28:32.440]  改變它或者給它另外一個指令
[28:32.440 --> 28:33.780]  明白什麼意思嗎?
[28:33.780 --> 28:36.760]  簡單來說 你一旦放了它上空中
[28:36.760 --> 28:40.720]  它就自我執行那個指令
[28:40.720 --> 28:47.520]  不用到最後放炸彈的時候
[28:47.520 --> 28:49.220]  你要再按一下 不用的了
[28:49.220 --> 28:53.680]  它就會自己執行這個這樣的指令了
[28:53.680 --> 28:56.180]  跟不跟得到?
[28:56.180 --> 29:02.460]  我覺得這個就是那個問題的所在
[29:02.460 --> 29:05.900]  因為一直以來所謂的殺手機械人
[29:05.900 --> 29:07.900]  他們都有一條紅線的
[29:07.900 --> 29:09.540]  那條紅線是什麼呢?
[29:09.540 --> 29:12.780]  就是最後當決定開火的時候
[29:12.780 --> 29:16.960]  到底這個控制權在哪裡?
[29:16.960 --> 29:19.740]  是那個控制的士兵呢?
[29:19.740 --> 29:23.700]  還是你交給人工智能去決定呢?
[29:23.700 --> 29:27.800]  這個就是那條紅線 這個就是那個紅鍵
[29:27.800 --> 29:29.720]  而剛才你看到的是什麼呢?
[29:29.720 --> 29:32.920]  因為戰場上這樣的原因
[29:32.920 --> 29:36.460]  發展這些無人機、無人的系統
[29:36.460 --> 29:39.600]  而它要面對這個Gemming signal的時候
[29:39.600 --> 29:43.340]  它就給它一個這樣的安排 就是什麼呢?
[29:43.340 --> 29:46.400]  你一旦放上去 你就自己執行任務
[29:46.400 --> 29:50.060]  AI就是你的導航了 你明白嗎?
[29:50.060 --> 29:51.860]  有些人就有個問題 就是
[29:51.860 --> 29:54.060]  嘩 這樣還得了的 之後一放上去
[29:54.060 --> 29:58.660]  他就自己找對象了 自己開火了
[29:58.660 --> 30:01.940]  那他知不知道找那些是什麼人來的?
[30:01.940 --> 30:04.220]  他知不知道這樣是對還是錯的?
[30:04.220 --> 30:05.780]  行不行的?
[30:05.780 --> 30:07.660]  但是你要知道呢
[30:07.660 --> 30:11.360]  在幾年、四年以來俄烏戰爭裡面
[30:11.360 --> 30:14.100]  其實烏克蘭他最想的是什麼?
[30:14.100 --> 30:15.700]  就是打贏這場仗
[30:15.700 --> 30:17.780]  至於這些到底道不道德?
[30:17.780 --> 30:21.240]  合不合適呢?留在大學裡面辯論
[30:21.240 --> 30:23.800]  你明白嗎?所以不知不覺呢
[30:23.800 --> 30:28.160]  這一條紅線就被逾越了
[30:28.160 --> 30:31.240]  那就締造了什麼呢?締造了剛才我們講的
[30:31.240 --> 30:33.760]  殺手機械人有兩個特點
[30:33.760 --> 30:37.720]  第一就是它配備致命的武器
[30:37.720 --> 30:41.160]  槍也好、炸彈也好
[30:41.160 --> 30:47.040]  第二就是什麼呢?它能夠自主的執行
[30:47.040 --> 30:50.800]  慢慢你看見現在這個界線越來越模糊了
[30:51.240 --> 30:54.080]  越來越模糊的 如果你留意新聞
[30:54.080 --> 30:57.380]  其實最近有一個AI公司
[30:57.380 --> 31:00.720]  與美國的戰爭部打官司的
[31:00.720 --> 31:04.260]  就是因為他們很執著
[31:04.260 --> 31:07.940]  覺得那些人工智能要在戰場上
[31:07.940 --> 31:11.160]  發揮到一個程度去到哪裡
[31:11.160 --> 31:13.940]  它覺得是不能夠讓它自主的
[31:13.940 --> 31:16.020]  那戰爭部當然說
[31:16.020 --> 31:18.900]  我們不能夠接受一家這樣的公司
[31:18.900 --> 31:20.660]  所以就取消了它的合約
[31:20.660 --> 31:24.560]  於是現在就在打官司
[31:24.560 --> 31:26.300]  那你可看到的是什麼呢?
[31:26.300 --> 31:28.080]  這個就是那個趨勢
[31:28.080 --> 31:30.580]  這個我相信也是前面
[31:30.580 --> 31:33.720]  戰爭武器的第三次革命來的
[31:33.720 --> 31:37.640]  有別於核子武器是什麼呢?
[31:37.640 --> 31:43.180]  因為這些材料是很容易得到的
[31:43.180 --> 31:45.020]  你甚至用這些打印機
[31:45.020 --> 31:47.660]  都可以打出這些武器出來的
[31:47.660 --> 31:49.920]  所以最近你有沒有聽過一個新聞就是什麼?
[31:49.920 --> 31:54.520]  就是北京禁止那些人 禁止那些無人機飛行
[31:54.520 --> 31:57.960]  禁止那些無人機改裝 其實很簡單的
[31:57.960 --> 32:02.260]  只要製造一架無人機 放一些炸藥下去
[32:02.260 --> 32:06.780]  就可以有斬首行動的了
[32:06.780 --> 32:11.560]  所以有別於核子武器
[32:11.560 --> 32:19.340]  就是那些材料是更加普遍 更加容易擴散
[32:19.340 --> 32:25.340]  而現在的烏克蘭呢 其實你上網找一下
[32:25.340 --> 32:32.140]  它每年可以製作的無人機是數以百萬計的
[32:32.140 --> 32:35.780]  由戰爭開始的時候 今上沒什麼軍工業
[32:35.780 --> 32:42.980]  到現在一年可以出數以百萬計的無人機
[32:42.980 --> 32:45.200]  好了 這樣你說了
[32:45.200 --> 32:49.420]  其實這些武器的革命、武器的發展
[32:49.420 --> 32:52.700]  跟我們有什麼關係呢?
[32:54.880 --> 32:57.320]  在《啟示錄》中在《聖經》中
[32:57.320 --> 32:59.900]  講到將來的災難
[32:59.900 --> 33:04.400]  剛才唱那首歌的時候,我有一個感覺的
[33:04.400 --> 33:08.320]  因為主祂曾經救我們,祂仍要救我們
[33:08.320 --> 33:10.480]  祂曾經救我們脫離罪惡
[33:10.480 --> 33:13.480]  祂也要救我們脫離災難
[33:13.480 --> 33:16.540]  而先講到將來的災難
[33:16.540 --> 33:20.580]  其中一樣東西就是死很多人
[33:20.580 --> 33:26.940]  特別是指著兩個時候
[33:26.940 --> 33:31.020]  第一個時候就是揭開印的時候
[33:31.020 --> 33:33.480]  揭開頭那幾印的時候
[33:33.480 --> 33:36.480]  就好像這個說的
[33:36.480 --> 33:38.940]  他說揭開第四印的時候
[33:38.940 --> 33:40.740]  我聽到第四個活物就說
[33:40.740 --> 33:43.680]  他說你來 我就觀看
[33:43.680 --> 33:49.600]  見到有一匹灰馬 其實在馬上的有個名叫做死
[33:49.600 --> 33:54.140]  陰虎隨著牠 有權柄賜給牠們
[33:54.140 --> 33:58.540]  可以用刀劍饑荒瘟疫 野獸
[33:58.540 --> 34:01.500]  殺害地上四分一的人
[34:01.500 --> 34:03.500]  那麼之前牠有三匹馬的
[34:03.500 --> 34:06.180]  有一匹白馬、一匹紅馬、一匹黑馬
[34:06.180 --> 34:08.840]  那其實就是回應之前那裡
[34:08.840 --> 34:11.880]  那把紅馬就是刀劍 即是打仗
[34:11.880 --> 34:17.280]  那把黑馬就是什麼呢?就是饑荒
[34:17.280 --> 34:21.120]  也都有瘟疫 不知道
[34:21.120 --> 34:24.720]  那麼我覺得這些瘟疫有可能是
[34:24.720 --> 34:28.040]  也都跟軍事有些關係都未定的
[34:28.040 --> 34:30.600]  比如現在你看見就是
[34:30.600 --> 34:33.920]  COVID-19 這樣 一直以來都
[34:33.920 --> 34:38.920]  有些人不想人追查那個源頭
[34:38.920 --> 34:43.160]  但是也都有不少的證據顯示
[34:43.160 --> 34:46.780]  是很可能是來自這個實驗室的
[34:46.780 --> 34:51.980]  這樣 你知道上規武器 剛才我們講過一些
[34:51.980 --> 34:54.480]  那麼非上規武器除了核彈之外
[34:54.480 --> 34:58.480]  另外就有生化武器的 這樣
[34:58.480 --> 35:02.540]  這個講到用刀劍饑荒瘟疫
[35:02.540 --> 35:04.400]  野獸殺了地上四分之一人
[35:04.400 --> 35:06.620]  現在全世界80多億人
[35:06.620 --> 35:10.600]  死了四分之一知道什麼?死了20億人
[35:10.600 --> 35:13.620]  中國13億、美國3億多
[35:13.620 --> 35:16.400]  只要說中美的人搭上去
[35:16.400 --> 35:19.780]  都不夠填這條數的
[35:19.780 --> 35:21.840]  你明白嗎?這樣
[35:21.840 --> 35:23.300]  那為什麼會死這麼多人呢?
[35:23.300 --> 35:25.580]  其實聖經也都講到
[35:25.580 --> 35:30.260]  那場仗會有一個很厲害的火
[35:30.260 --> 35:35.440]  比如三分之一的地燒了 所有的青草燒了
[35:35.440 --> 35:40.080]  三分之一的海洋受打擊 三分之一的日月星辰
[35:40.080 --> 35:43.060]  我相信就不是太陽月亮有什麼問題
[35:43.060 --> 35:47.980]  而是大氣層 它大氣層就出了狀況受影響
[35:47.980 --> 35:53.660]  那什麼會使得世界三分之一的地、三分之一的海
[35:53.660 --> 35:57.000]  三分之一的大氣受影響呢?
[35:57.000 --> 36:01.420]  我覺得很可能就是跟這個核戰有關
[36:01.420 --> 36:03.200]  在下個禮拜裏面
[36:03.200 --> 36:07.220]  我們也會講到這方面多一些的
[36:07.220 --> 36:08.060]  因為為什麼呢?
[36:08.060 --> 36:11.780]  因為你可能會覺得就是聖經是神的話
[36:11.780 --> 36:13.120]  但是聖經很古老
[36:13.120 --> 36:14.800]  那既然聖經這麼古老
[36:14.800 --> 36:19.040]  它怎麼講到這些現代才有的名詞呢?
[36:19.040 --> 36:22.160]  你明白嗎?現代才有的狀況呢?
[36:22.160 --> 36:24.740]  其實都能夠表達到的
[36:24.740 --> 36:29.660]  我們這方面下一次可以講得多一些
[36:29.660 --> 36:32.980]  但是起碼你知道在1月、2月的時候
[36:32.980 --> 36:35.360]  是不是美國還在講一個話題
[36:35.360 --> 36:41.180]  就是想拿這個格陵蘭
[36:41.180 --> 36:46.340]  完成它那個金窮頂的防禦計劃
[36:46.340 --> 36:47.840]  可能有些人覺得就是什麼
[36:47.840 --> 36:51.340]  就是核彈是由東向西飛、由西向東飛
[36:51.340 --> 36:55.260]  但是你有沒有想過其實它可以向北飛
[36:55.260 --> 37:01.700]  橫跨北極的 它的航道是更加短的
[37:01.700 --> 37:04.500]  比如現在有一些航線 飛機的航線
[37:04.500 --> 37:08.100]  其實都是飛越北極的
[37:10.240 --> 37:17.040]  所以這個就牽涉到核子武器的形容了
[37:17.040 --> 37:18.940]  最近都多了很多這樣的東西的
[37:18.940 --> 37:25.040]  關乎到核戰、核彈的攔截等等
[37:25.040 --> 37:26.800]  再回應那句
[37:26.800 --> 37:32.500]  人發明的武器從來都沒有不用的
[37:32.500 --> 37:35.440]  而現在的核彈
[37:35.440 --> 37:44.820]  是比起當日的廣島長崎的威力是千倍以上
[37:44.820 --> 37:48.920]  好了 剛才你說的殺手機械人有什麼呢?
[37:48.920 --> 37:52.760]  這樣在聖經裏面 提到第九章
[37:52.760 --> 37:55.120]  有這樣的一個描述的
[37:55.120 --> 37:59.920]  就講到有幾個天使吹號 有七個天使吹號
[37:59.920 --> 38:02.080]  第六個天使吹號的時候
[38:02.080 --> 38:05.880]  他說有聲音從神面前 神的面前
[38:05.880 --> 38:09.120]  金壇四角就出來了 講什麼呢?
[38:09.120 --> 38:14.160]  他說要將他捆綁在幼法拉底河的
[38:14.160 --> 38:17.320]  四個使者釋放出來
[38:17.320 --> 38:20.140]  那四個使者就被釋放了
[38:20.140 --> 38:21.680]  他們原來準備好
[38:21.680 --> 38:24.480]  到某年、某月、某日、某時
[38:24.480 --> 38:27.560]  要殺人的三分之一
[38:27.560 --> 38:29.860]  馬軍有二萬萬
[38:29.860 --> 38:33.440]  他的數目我聽見了
[38:33.440 --> 38:37.800]  第二道說到死很多人的就是這裡
[38:37.800 --> 38:42.160]  殺人的三分之一,如果按剛才這樣算
[38:42.160 --> 38:45.740]  先是那四匹馬死了四分之一人
[38:45.740 --> 38:49.940]  全世界只剩下60億人 死了40億
[38:49.940 --> 38:54.020]  60億裡面再死三分之一 又死了20億
[38:54.020 --> 38:56.100]  就是說去到這裡的時候
[38:56.100 --> 39:00.400]  全世界已經沒有了一半人了
[39:00.400 --> 39:02.960]  我這樣跟你說 其實這個時候是什麼時候?
[39:02.960 --> 39:07.660]  這個時候就是七年災難的一半的時候
[39:07.660 --> 39:11.640]  末後的災難都還沒發生
[39:11.640 --> 39:14.040]  後三年半都還沒發生
[39:14.040 --> 39:18.120]  所以講到最後那3年半 聖經怎麼說呢?
[39:18.120 --> 39:21.440]  它說如果不是為了選民、為了以色列人的緣故
[39:21.440 --> 39:25.940]  減少這些日子 所有有血氣的都不留在全流
[39:25.940 --> 39:31.240]  那你又會知道 其實前面的日子的災難
[39:31.240 --> 39:35.540]  那個殺傷人的情況是很嚴重的
[39:35.540 --> 39:38.900]  而剛才我們講的那四個印
[39:38.900 --> 39:42.300]  就是七年災難開始沒多久
[39:42.300 --> 39:45.120]  白馬之後而發生的
[39:45.120 --> 39:48.440]  而這裏這個第六位天使吹號
[39:48.440 --> 39:51.520]  就是什麼呢?可以這樣說就是
[39:51.520 --> 39:54.840]  經過了那四匹馬之後
[39:54.840 --> 39:58.100]  到後來有一個敵基督
[39:58.100 --> 39:59.960]  就是獸的國出現了
[39:59.960 --> 40:01.760]  要有人拜祂
[40:01.760 --> 40:05.600]  而對付異己的殺戮來的
[40:05.600 --> 40:07.640]  對付異己的殺戮來的
[40:07.640 --> 40:10.200]  那麽這一次裏面你發覺
[40:10.200 --> 40:13.040]  除了說殺人的三分之一 死很多人之外
[40:13.040 --> 40:15.320]  還有兩個特點很特別的
[40:15.320 --> 40:19.740]  第一就是你發覺他是某年某月某日某時
[40:19.740 --> 40:22.340]  很有趣的 他沒有說那些兵從哪裡來
[40:22.340 --> 40:24.440]  要去哪裡打什麼仗
[40:24.440 --> 40:26.760]  很多人就將他混淆了
[40:26.760 --> 40:30.640]  跟其他的哈密吉多頓或者其他的混淆了
[40:30.640 --> 40:32.960]  其實不是的 你看清楚
[40:32.960 --> 40:35.660]  他已經寫得有相當的暗示
[40:35.660 --> 40:37.060]  比如他說什麼呢?
[40:37.060 --> 40:44.340]  他說是源於幼法拉底河的四個使者被釋放
[40:44.340 --> 40:47.100]  跟靈界有些關係的
[40:47.100 --> 40:50.540]  而你知道幼法拉底河就是現在的伊拉克
[40:50.540 --> 40:56.120]  也是以前的巴比倫的地方
[40:56.120 --> 41:02.260]  回到最初那個反叛的地方
[41:02.260 --> 41:04.640]  而你發覺它是什麼呢?
[41:04.640 --> 41:08.460]  某年某月某日某時殺人的三分之一
[41:08.460 --> 41:10.840]  你們看不看得見呢?
[41:10.840 --> 41:13.040]  其實不像一場仗來的
[41:13.040 --> 41:15.940]  只是執行一個指令似的
[41:15.940 --> 41:19.940]  只是執行一個指令似的
[41:19.940 --> 41:22.360]  最近Donald Trump
[41:22.360 --> 41:24.820]  有一次全國演講 幾天前
[41:24.820 --> 41:26.900]  他就這樣說了 他說什麼呢?
[41:26.900 --> 41:29.500]  其實在近代的歷史裡面
[41:29.500 --> 41:33.760]  從來沒有一場戰爭是打一天的
[41:33.760 --> 41:39.640]  現在的伊朗戰爭都打了三十多天 整個月了
[41:39.640 --> 41:45.240]  近代的戰爭從來都沒有打一天、半天的
[41:45.240 --> 41:49.120]  那麼何況還是某日某時的呢?
[41:49.120 --> 41:55.540]  所以你覺得像不像執行一個指令?
[41:55.540 --> 42:01.960]  如果要找對象 執行指令要找對象很容易的
[42:01.960 --> 42:05.800]  比如你現在看到最近有個新聞就是
[42:05.800 --> 42:09.380]  比如Facebook、Meta或者其它有些
[42:09.380 --> 42:13.100]  是被法庭罰它 說它就是用一些的algorithm
[42:13.100 --> 42:19.400]  用一些的訊息去知道那些人喜歡些什麼
[42:19.400 --> 42:22.560]  那就供一些東西給它看 就讓它上癮
[42:22.560 --> 42:26.460]  其實用這些訊息就可以知道你平時
[42:26.460 --> 42:28.720]  你上網是怎麼樣的情況呢?
[42:28.720 --> 42:31.340]  就知道你大約是什麼樣的人來的了
[42:31.340 --> 42:36.120]  你喜歡看什麼 你個人的取向
[42:36.120 --> 42:39.600]  政治的取向各方面是怎麼樣
[42:39.600 --> 42:43.900]  那就很容易分辨到那些對象是怎麼樣的了
[42:43.900 --> 42:45.340]  那另外一件事情一提就是
[42:45.340 --> 42:49.360]  他說馬軍有2萬萬 即2億
[42:49.360 --> 42:53.000]  其實現在全世界哪裏有一個國家有2億軍隊?
[42:53.000 --> 42:56.680]  沒有啊 明白嗎?
[42:56.680 --> 42:59.760]  但是呢 如果你說
[42:59.760 --> 43:04.520]  剛才說的那些機械人 殺手機械人
[43:04.520 --> 43:07.740]  如果要有都不是難的 為什麼呢?
[43:07.740 --> 43:11.120]  二億 但是他是不是要殺三分一呢?
[43:11.120 --> 43:12.720]  三分一有二十億啊
[43:12.720 --> 43:17.100]  那些一個對十個而已 你明白嗎?
[43:17.100 --> 43:18.880]  所以絕對有這樣的可能
[43:18.880 --> 43:23.740]  而那些馬軍是怎麼樣的呢?
[43:23.740 --> 43:26.680]  它在意象中看到的馬是騎馬的
[43:26.680 --> 43:29.700]  胸前有甲、有火
[43:29.700 --> 43:31.300]  有甲如火
[43:31.300 --> 43:33.400]  又有紫馬路和硫磺
[43:33.400 --> 43:35.400]  馬的頭好像獅子頭
[43:37.400 --> 43:39.300]  好像獅子頭
[43:39.300 --> 43:42.100]  我知道大家中午現在肚子餓了
[43:42.100 --> 43:45.800]  這個獅子頭就不是講上海館那些
[43:45.800 --> 43:48.680]  有火、有煙、有硫磺
[43:48.680 --> 43:50.880]  從馬的口中出來
[43:50.880 --> 43:55.080]  這三樣東西就是殺人的三分之一
[43:55.080 --> 43:58.600]  那馬的能力除了在口之外 也在尾巴
[43:58.600 --> 44:00.280]  我不知道是什麼
[44:00.280 --> 44:06.760]  當日約翰他見到的就是這樣了
[44:06.760 --> 44:13.480]  我自己覺得 環顧現在發展的情況
[44:13.480 --> 44:19.760]  當然這次的美國、以色列、伊朗的戰爭
[44:19.760 --> 44:22.480]  還有很多啟發的 在政治上
[44:22.480 --> 44:26.680]  比如對於歐洲、對於北約
[44:26.680 --> 44:31.540]  另外對於以色列在中東的位置
[44:31.540 --> 44:35.760]  這些留待日後有機會再講
[44:35.760 --> 44:40.660]  但是在武器上面 你可以看到的是什麼呢?
[44:40.660 --> 44:44.100]  其實美國的經濟、美國的科技
[44:44.100 --> 44:46.760]  美國的軍事是相當強的
[44:46.760 --> 44:51.520]  我覺得如果要對付美國
[44:51.520 --> 44:56.940]  似乎只有一件事就是核武
[44:56.940 --> 45:03.160]  而當美國和相對的勢力一起step down的時候
[45:03.160 --> 45:07.000]  你發覺剩下來的很可能的勢力就不多
[45:07.000 --> 45:10.240]  可能就是歐洲 明白嗎?
[45:10.240 --> 45:15.420]  而到時有一個的敵對
[45:15.420 --> 45:17.960]  就是敵基督的國就會出現了
[45:17.960 --> 45:20.600]  要人拜祂 不拜祂就要死了
[45:20.600 --> 45:24.860]  這個就是剛才講的第六號的情況
[45:24.860 --> 45:29.360]  那我覺得武器已經可以說是
[45:29.360 --> 45:31.960]  你可以看到這些苗頭
[45:31.960 --> 45:35.740]  那到底前面會怎麼樣呢?
[45:35.740 --> 45:40.020]  今天我就嘗試用這個武器方面
[45:40.020 --> 45:42.380]  跟大家講一下這一場戰爭
[45:42.380 --> 45:45.220]  那麼下一個禮拜呢
[45:45.220 --> 45:49.020]  我們就會講一下到底前面會怎麼樣呢?
[45:49.020 --> 45:50.640]  那就不是時時分析的
[45:50.640 --> 45:52.220]  那麼在《聖經》裡面
[45:52.220 --> 45:55.920]  它怎麼講前面會發生些什麼呢?
[45:55.920 --> 45:58.320]  那我們下個禮拜再見啦 好嗎?
[45:58.320 --> 46:00.020]  那我今天就講
